Дата видачі кредиту,№ договору,Сумма кредиту,Загальна заборгованість,Сімейний стан,Стать,Наявність утриманців,Область реєстрації,Сектор діяльності,Строк кредиту,Кількість днів прострочення,Наявність простроченної заборгованості понад 30 днів ,Рейтинговий бал зовнішній,Статус,results Kasianova,results Chernenko,result Lzkhovetskyi
10/2/2019,104,50 000,10 311,11,88,0,Б,60.75,15,0,0,84600,1,0,5%,0
10/9/2019,111,120 000,80 100,12,88,0,Б,58.43,27,0,0,45200,1,0,51%,0
10/9/2019,113,120 000,10 302,11,99,0,Ї,46.23,15,0,0,67600,1,0,20%,0
10/10/2019,118,100 000,66 750,11,88,0,Н,38.72,27,0,0,75800,1,0,29%,0
10/10/2019,121,50 000,39 677,14,99,0,Б,60.63,27,117,1,53000,1,1,34%,1
10/12/2019,130,50 000,39 322,11,88,0,З,106.24,39,0,1,53200,1,1,41%,0
10/12/2019,132,140 000,93 450,14,99,0,Б,60.102,27,0,0,64400,1,0,34%,0
10/15/2019,139,140 000,11 667,11,88,0,И,59.84,15,0,0,67200,1,0,20%,0
10/16/2019,146,60 000,30 175,11,88,0,Б,109.13,27,0,0,62800,1,0,41%,0
10/16/2019,150,150 000,114 355,11,99,0,З,69.21,27,78,1,43200,1,0,58%,0
10/17/2019,161,50 000,12 192,11,99,0,Р,60.102,15,0,0,71200,1,0,16%,0
10/17/2019,164,110 000,73 425,11,88,0,И,99.32,27,0,0,54800,1,0,41%,0
10/17/2019,166,50 000,15 469,11,99,0,З,56.23,15,0,1,58000,1,0,20%,0
10/17/2019,169,80 000,53 400,14,99,0,В,69.21,27,0,0,46400,1,1,51%,1
10/17/2019,172,60 000,40 050,14,88,0,К,60.63,27,0,0,62800,1,0,34%,0
10/18/2019,177,110 000,0,14,99,0,Є,58.31,27,0,0,72200,1,0,28%,0
10/18/2019,178,50 000,0,11,88,0,Б,98.70,15,0,0,63000,1,0,20%,0
10/18/2019,183,70 000,21 655,11,99,0,Е,29.21,15,0,0,64600,1,0,20%,1
10/18/2019,197,70 000,61 250,12,88,1,И,109.13,27,140,1,57000,1,1,24%,0
10/19/2019,202,70 000,0,11,88,0,Б,58.31,27,0,0,72800,1,0,29%,0
10/19/2019,209,60 000,44 951,0,88,0,Ж,81.31,15,217,1,51200,1,1,23%,1
10/19/2019,210,50 000,33 375,0,88,0,Б,62.52,27,0,0,63800,1,0,34%,0
10/19/2019,211,50 000,9 874,11,99,0,З,62.52,21,0,0,43000,1,0,33%,0
10/22/2019,217,80 000,0,11,99,0,А,60.100,18,0,0,45800,1,0,33%,0
10/22/2019,222,50 000,0,11,88,0,И,60.100,15,0,0,75400,1,0,13%,0
10/22/2019,223,50 000,0,11,88,0,Н,69.21,27,0,1,57800,1,0,41%,0
10/23/2019,232,150 000,0,14,88,0,Ї,87.21,24,0,0,67000,1,0,16%,0
10/23/2019,237,300 000,0,12,99,2,Д,60.22,27,0,0,77400,1,0,7%,0
10/23/2019,244,80 000,48 648,11,88,0,Б,60.40,21,12,1,55000,1,0,20%,0
10/23/2019,247,50 000,29 271,12,88,0,Д,27.23,27,0,0,63800,1,0,34%,0
10/24/2019,257,80 000,55 852,11,99,0,Б,58.31,27,0,1,61400,1,0,41%,0
10/24/2019,261,80 000,52 248,11,99,0,Б,62.52,27,0,1,42200,1,0,58%,0
10/24/2019,266,80 000,44 115,14,88,0,А,68.21,21,0,0,80200,1,1,4%,0
10/24/2019,269,60 000,37 958,0,99,0,Н,59.53,27,42,1,68400,1,0,28%,0
10/25/2019,272,50 000,0,14,99,0,З,60.92,27,0,0,58000,1,0,34%,0
10/25/2019,279,140 000,81 586,12,88,0,В,60.22,27,0,0,78200,1,0,11%,0
10/25/2019,284,120 000,6 000,14,99,0,І,59.56,15,0,0,73800,1,0,10%,0
10/25/2019,291,110 000,86 291,11,88,1,З,60.92,27,162,1,66800,1,0,24%,0
10/26/2019,295,80 000,0,11,88,0,З,60.22,12,0,0,81400,1,0,5%,0
10/26/2019,301,50 000,32 640,14,88,2,А,60.82,27,0,1,47600,1,0,39%,0
10/26/2019,303,110 000,33 855,11,99,0,Є,59.44,15,0,0,69600,1,1,16%,0
10/29/2019,311,50 000,0,0,99,0,Н,81.31,27,0,0,61600,1,0,34%,0
10/29/2019,314,70 000,0,11,99,0,Е,59.52,15,0,0,72600,1,0,13%,0
10/29/2019,323,50 000,33 381,0,99,0,Б,58.31,27,0,0,94000,1,0,11%,0
10/29/2019,324,140 000,89 300,14,88,0,С,60.35,27,0,0,85200,1,0,11%,0
10/29/2019,328,60 000,52 500,12,88,1,Б,60.30,27,217,1,45800,1,1,39%,0
10/30/2019,331,50 000,0,11,99,0,О,79.40,24,0,0,66200,1,0,20%,0
10/30/2019,332,180 000,0,14,88,1,Е,59.101,15,0,0,82200,1,0,3%,0
10/30/2019,338,110 000,64 807,14,88,0,Е,59.84,27,0,0,64000,1,0,34%,0
10/30/2019,339,40 000,4 516,14,99,0,С,59.30,15,0,0,59800,1,0,16%,0
11/1/2019,355,70 000,46 692,11,88,0,И,60.63,27,0,1,66800,1,0,41%,0
11/2/2019,359,50 000,45 833,11,88,0,Б,86.22,39,1,1,53200,1,1,41%,1
11/2/2019,360,50 000,31 893,11,99,0,Б,59.63,27,0,0,79800,1,0,13%,0
11/3/2019,370,50 000,31 679,0,88,0,М,81.31,27,0,0,65800,1,1,34%,0
11/6/2019,374,230 000,0,14,99,0,Н,60.92,12,0,0,83200,1,0,4%,0
11/6/2019,375,50 000,0,14,88,0,К,60.30,27,0,0,54600,1,0,34%,0
11/7/2019,383,50 000,28 782,14,99,0,В,56.23,27,0,0,69200,1,1,28%,0
11/8/2019,390,110 000,82 570,14,99,0,Б,58.43,27,27,1,65200,1,0,34%,0
11/10/2019,396,150 000,137 500,11,99,3,И,94.21,27,217,1,57400,1,1,24%,0
11/13/2019,398,110 000,100 833,11,99,n/a,Н,68.31,27,217,1,NA,1,1,34%,0
11/15/2019,407,160 000,97 215,11,99,0,Б,65.40,21,0,0,62800,1,0,20%,0
11/16/2019,409,50 000,35 456,11,99,2,Н,60.34,27,0,0,59000,1,0,24%,0
11/17/2019,413,40 000,15 815,11,99,0,Б,60.87,15,0,0,58400,1,1,20%,0
11/20/2019,419,50 000,21 758,14,99,0,Б,59.101,27,0,0,52000,1,0,34%,0
11/23/2019,424,40 000,0,0,99,0,Е,108.22,12,0,0,76400,1,0,10%,0
11/23/2019,430,100 000,66 061,14,99,0,Б,95.41,27,0,0,52600,1,1,34%,0
11/28/2019,437,100 000,34 583,11,99,0,Б,62.50,15,0,0,73200,1,0,13%,0
11/28/2019,440,200 000,72 067,11,88,0,Б,95.110,15,0,0,54600,1,1,20%,0
11/29/2019,444,100 000,36 033,11,99,0,З,60.35,15,0,1,67200,1,0,20%,0
11/30/2019,447,40 000,0,0,99,0,Е,108.22,12,0,0,76400,1,0,10%,0
12/5/2019,454,130 000,91 791,11,88,0,Б,59.101,27,0,0,78800,1,0,13%,0
